LigandID,CAS or NOCAS-number,TC TPO inhibition activity,Presence in test set marked with *,canonical_smiles
train739,124495-18-7,Inactive,,Fc1ccc(Oc2ccnc3cc(Cl)cc(Cl)c23)cc1
test227,120-46-7,Inactive,*,O=C(CC(=O)c1ccccc1)c1ccccc1
train731,120116-88-3,Inactive,,Cc1ccc(-c2c(Cl)nc(C#N)n2S(=O)(=O)N(C)C)cc1
test84,92-69-3,Inactive,*,Oc1ccc(-c2ccccc2)cc1
test432,1873-88-7,Inactive,*,C[Si](O[Si](C)(C)C)O[Si](C)(C)C
train747,131860-33-8,Inactive,,COC=C(C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1
train357,143-50-0,Inactive,,O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl
train21,54-85-3,Active,,NNC(=O)c1ccncc1
test221,119-07-3,Inactive,*,CCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC
train288,117-81-7,Inactive,,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC
train287,117-79-3,Inactive,,Nc1ccc2c(c1)C(=O)c1ccccc1C2=O
test142,104-45-0,Inactive,*,CCCc1ccc(OC)cc1
train40,59-50-7,Inactive,,Cc1cc(O)ccc1Cl
train318,123-25-1,Inactive,,CCOC(=O)CCC(=O)OCC
test105,95-76-1,Active,*,Nc1ccc(Cl)c(Cl)c1
train374,300-76-5,Inactive,,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br
train351,140-64-7,Inactive,,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1
test280,140-10-3,Inactive,*,O=C(O)C=Cc1ccccc1
train303,120-83-2,Inactive,,Oc1ccc(Cl)cc1Cl
test295,143-08-8,Inactive,*,CCCCCCCCCO
test415,1490-04-6,Inactive,*,CC1CCC(C(C)C)C(O)C1
train490,2550-40-5,Inactive,,C1CCC(SSC2CCCCC2)CC1
test511,6789-88-4,Inactive,*,CCCCCCOC(=O)c1ccccc1
test132,101-42-8,Active,*,CN(C)C(=O)Nc1ccccc1
train390,528-29-0,Inactive,,O=[N+]([O-])c1ccccc1[N+](=O)[O-]
train567,23135-22-0,Inactive,,CNC(=O)ON=C(SC)C(=O)N(C)C
test172,109-02-4,Inactive,*,CN1CCOCC1
test204,112-31-2,Inactive,*,CCCCCCCCCC=O
