LigandID,CAS or NOCAS-number,TC TPO inhibition activity,Presence in test set marked with *,canonical_smiles
train130,91-64-5,Inactive,,O=c1ccc2ccccc2o1
train131,91-66-7,Inactive,,CCN(CC)c1ccccc1
train132,92-52-4,Inactive,,c1ccc(-c2ccccc2)cc1
train133,92-68-2,Inactive,,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1
train134,92-87-5,Inactive,,Nc1ccc(-c2ccc(N)cc2)cc1
train135,93-15-2,Inactive,,C=CCc1ccc(OC)c(OC)c1
train136,94-13-3,Inactive,,CCCOC(=O)c1ccc(O)cc1
train137,94-26-8,Inactive,,CCCCOC(=O)c1ccc(O)cc1
train138,94-28-0,Inactive,,CCCCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CCCC
train139,94-74-6,Inactive,,Cc1cc(Cl)ccc1OCC(=O)O
train140,94-75-7,Inactive,,O=C(O)COc1ccc(Cl)cc1Cl
train141,94-82-6,Inactive,,O=C(O)CCCOc1ccc(Cl)cc1Cl
train142,95-14-7,Inactive,,c1ccc2[nH]nnc2c1
train143,95-48-7,Inactive,,Cc1ccccc1O
train144,95-49-8,Inactive,,Cc1ccccc1Cl
train145,95-50-1,Inactive,,Clc1ccccc1Cl
train146,95-53-4,Active,,Cc1ccccc1N
train147,95-57-8,Inactive,,Oc1ccccc1Cl
train148,95-63-6,Inactive,,Cc1ccc(C)c(C)c1
train149,95-65-8,Inactive,,Cc1ccc(O)cc1C
train150,95-87-4,Inactive,,Cc1ccc(C)c(O)c1
train151,95-94-3,Inactive,,Clc1cc(Cl)c(Cl)cc1Cl
train152,95-95-4,Inactive,,Oc1cc(Cl)c(Cl)cc1Cl
train153,96-09-3,Inactive,,c1ccc(C2CO2)cc1
train154,96-18-4,Inactive,,ClCC(Cl)CCl
train155,96-23-1,Inactive,,OC(CCl)CCl
train156,96-29-7,Inactive,,CCC(C)N=O
train157,96-48-0,Inactive,,O=C1CCCO1
train158,97-53-0,Active,,C=CCc1ccc(O)c(OC)c1
train159,97-54-1,Active,,CC=Cc1ccc(O)c(OC)c1
train160,97-77-8,Inactive,,CCN(CC)C(=S)SSC(=S)N(CC)CC
train161,98-01-1,Inactive,,O=Cc1ccco1
train162,98-06-6,Inactive,,CC(C)(C)c1ccccc1
train163,98-07-7,Inactive,,ClC(Cl)(Cl)c1ccccc1
train164,98-86-2,Inactive,,CC(=O)c1ccccc1
train165,98-87-3,Inactive,,ClC(Cl)c1ccccc1
train166,98-95-3,Inactive,,O=[N+]([O-])c1ccccc1
train167,99-08-1,Inactive,,Cc1cccc([N+](=O)[O-])c1
train168,99-30-9,Inactive,,Nc1c(Cl)cc([N+](=O)[O-])cc1Cl
train169,99-51-4,Inactive,,Cc1ccc([N+](=O)[O-])cc1C
train170,99-54-7,Inactive,,O=[N+]([O-])c1ccc(Cl)c(Cl)c1
train171,99-55-8,Inactive,,Cc1ccc([N+](=O)[O-])cc1N
train172,99-59-2,Active,,COc1ccc([N+](=O)[O-])cc1N
train173,99-62-7,Inactive,,CC(C)c1cccc(C(C)C)c1
train174,99-65-0,Inactive,,O=[N+]([O-])c1cccc([N+](=O)[O-])c1
train175,99-66-1,Inactive,,CCCC(CCC)C(=O)O
train176,99-76-3,Inactive,,COC(=O)c1ccc(O)cc1
train177,99-87-6,Inactive,,Cc1ccc(C(C)C)cc1
train178,99-97-8,Active,,Cc1ccc(N(C)C)cc1
train179,99-99-0,Inactive,,Cc1ccc([N+](=O)[O-])cc1
train180,100-00-5,Inactive,,O=[N+]([O-])c1ccc(Cl)cc1
train181,100-01-6,Inactive,,Nc1ccc([N+](=O)[O-])cc1
train182,100-37-8,Inactive,,CCN(CC)CCO
train183,100-51-6,Inactive,,OCc1ccccc1
train184,100-54-9,Inactive,,N#Cc1cccnc1
train185,100-97-0,Inactive,,C1N2CN3CN1CN(C2)C3
train186,101-02-0,Active,,c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1
train187,101-10-0,Inactive,,CC(Oc1cccc(Cl)c1)C(=O)O
train188,101-21-3,Inactive,,CC(C)OC(=O)Nc1cccc(Cl)c1
train189,101-54-2,Active,,Nc1ccc(Nc2ccccc2)cc1
train190,101-55-3,Inactive,,Brc1ccc(Oc2ccccc2)cc1
train191,101-77-9,Active,,Nc1ccc(Cc2ccc(N)cc2)cc1
train192,101-80-4,Active,,Nc1ccc(Oc2ccc(N)cc2)cc1
train193,101-86-0,Inactive,,CCCCCCC(C=O)=Cc1ccccc1
train194,102-06-7,Inactive,,N=C(Nc1ccccc1)Nc1ccccc1
train195,102-27-2,Active,,CCNc1cccc(C)c1
train196,102-60-3,Inactive,,CC(O)CN(CCN(CC(C)O)CC(C)O)CC(C)O
train197,102-71-6,Inactive,,OCCN(CCO)CCO
train198,102-76-1,Inactive,,CC(=O)OCC(COC(C)=O)OC(C)=O
train199,102-82-9,Inactive,,CCCCN(CCCC)CCCC
train200,103-23-1,Inactive,,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC
train201,103-24-2,Inactive,,CCCCC(CC)COC(=O)CCCCCCCC(=O)OCC(CC)CCCC
train202,103-33-3,Inactive,,c1ccc(N=Nc2ccccc2)cc1
train203,103-65-1,Inactive,,CCCc1ccccc1
train204,103-69-5,Active,,CCNc1ccccc1
train205,103-90-2,Inactive,,CC(=O)Nc1ccc(O)cc1
train206,104-51-8,Inactive,,CCCCc1ccccc1
train207,104-67-6,Inactive,,CCCCCCCC1CCC(=O)O1
train208,104-76-7,Inactive,,CCCCC(CC)CO
train209,105-54-4,Inactive,,CCCC(=O)OCC
train210,105-60-2,Inactive,,O=C1CCCCCN1
train211,105-67-9,Active,,Cc1ccc(O)c(C)c1
train212,105-99-7,Inactive,,CCCCOC(=O)CCCCC(=O)OCCCC
train213,106-22-9,Inactive,,CC(C)=CCCC(C)CCO
train214,106-27-4,Inactive,,CCCC(=O)OCCC(C)C
train215,106-30-9,Inactive,,CCCCCCC(=O)OCC
train216,106-44-5,Inactive,,Cc1ccc(O)cc1
train217,106-46-7,Inactive,,Clc1ccc(Cl)cc1
train218,106-47-8,Active,,Nc1ccc(Cl)cc1
train219,106-49-0,Active,,Cc1ccc(N)cc1
train220,106-65-0,Inactive,,COC(=O)CCC(=O)OC
train221,106-87-6,Inactive,,C1CC2OC2CC1C1CO1
train222,107-07-3,Inactive,,OCCCl
train223,107-18-6,Inactive,,C=CCO
train224,107-21-1,Inactive,,OCCO
train225,107-41-5,Inactive,,CC(O)CC(C)(C)O
train226,107-88-0,Inactive,,CC(O)CCO
train227,107-92-6,Inactive,,CCCC(=O)O
train228,107-98-2,Inactive,,COCC(C)O
train229,108-01-0,Inactive,,CN(C)CCO
train230,108-11-2,Inactive,,CC(C)CC(C)O
train231,108-44-1,Active,,Cc1cccc(N)c1
train232,108-45-2,Active,,Nc1cccc(N)c1
train233,108-46-3,Active,,Oc1cccc(O)c1
train234,108-59-8,Inactive,,COC(=O)CC(=O)OC
train235,108-67-8,Inactive,,Cc1cc(C)cc(C)c1
train236,108-80-5,Inactive,,Oc1nc(O)nc(O)n1
train237,108-91-8,Inactive,,NC1CCCCC1
train238,108-93-0,Inactive,,OC1CCCCC1
train239,108-94-1,Inactive,,O=C1CCCCC1
train240,109-43-3,Inactive,,CCCCOC(=O)CCCCCCCCC(=O)OCCCC
train241,109-86-4,Inactive,,COCCO
train242,110-05-4,Inactive,,CC(C)(C)OOC(C)(C)C
train243,110-26-9,Inactive,,C=CC(=O)NCNC(=O)C=C
train244,110-62-3,Inactive,,CCCCC=O
train245,110-80-5,Inactive,,CCOCCO
train246,110-85-0,Inactive,,C1CNCCN1
train247,111-11-5,Inactive,,CCCCCCCC(=O)OC
train248,111-14-8,Inactive,,CCCCCCC(=O)O
train249,111-15-9,Inactive,,CCOCCOC(C)=O
train250,111-21-7,Inactive,,CC(=O)OCCOCCOCCOC(C)=O
train251,111-30-8,Inactive,,O=CCCCC=O
train252,111-42-2,Inactive,,OCCNCCO
train253,111-44-4,Inactive,,ClCCOCCCl
train254,111-46-6,Inactive,,OCCOCCO
train255,111-69-3,Inactive,,N#CCCCCC#N
train256,111-76-2,Inactive,,CCCCOCCO
train257,111-77-3,Inactive,,COCCOCCO
train258,111-82-0,Inactive,,CCCCCCCCCCCC(=O)OC
train259,111-87-5,Inactive,,CCCCCCCCO
train260,111-90-0,Inactive,,CCOCCOCCO
train261,111-96-6,Inactive,,COCCOCCOC
train263,112-05-0,Inactive,,CCCCCCCCC(=O)O
train264,112-25-4,Inactive,,CCCCCCOCCO
train265,112-27-6,Inactive,,OCCOCCOCCO
train266,112-30-1,Inactive,,CCCCCCCCCCO
train267,112-34-5,Inactive,,CCCCOCCOCCO
train268,112-38-9,Inactive,,C=CCCCCCCCCC(=O)O
train269,112-42-5,Inactive,,CCCCCCCCCCCO
train270,112-49-2,Inactive,,COCCOCCOCCOC
train271,112-50-5,Inactive,,CCOCCOCCOCCO
train272,112-53-8,Inactive,,CCCCCCCCCCCCO
train273,112-70-9,Inactive,,CCCCCCCCCCCCCO
train274,112-72-1,Inactive,,CCCCCCCCCCCCCCO
train275,113-48-4,Inactive,,CCCCC(CC)CN1C(=O)C2C3C=CC(C3)C2C1=O
train276,114-07-8,Inactive,,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O
train277,114-26-1,Inactive,,CNC(=O)Oc1ccccc1OC(C)C
train278,115-28-6,Inactive,,O=C(O)C1C(C(=O)O)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl
train279,115-29-7,Inactive,,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
train280,115-32-2,Inactive,,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl
train281,115-77-5,Inactive,,OCC(CO)(CO)CO
train282,115-86-6,Inactive,,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1
train283,115-96-8,Inactive,,O=P(OCCCl)(OCCCl)OCCCl
train284,116-06-3,Inactive,,CNC(=O)ON=CC(C)(C)SC
train285,116-25-6,Inactive,,CC1(C)C(=O)NC(=O)N1CO
train286,117-39-5,Active,,O=C1C(=O)C(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21
train287,117-79-3,Inactive,,Nc1ccc2c(c1)C(=O)c1ccccc1C2=O
train288,117-81-7,Inactive,,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC
train289,117-84-0,Active,,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC
train290,118-52-5,Inactive,,CC1(C)C(=O)N(Cl)C(=O)N1Cl
train291,118-71-8,Active,,CC1OC=CC(=O)C1=O
train292,119-36-8,Inactive,,COC(=O)c1ccccc1O
train293,119-61-9,Inactive,,O=C(c1ccccc1)c1ccccc1
train294,119-93-7,Inactive,,Cc1cc(-c2ccc(N)c(C)c2)ccc1N
train295,120-12-7,Active,,c1ccc2cc3ccccc3cc2c1
train296,120-32-1,Inactive,,Oc1ccc(Cl)cc1Cc1ccccc1
train297,120-36-5,Inactive,,CC(Oc1ccc(Cl)cc1Cl)C(=O)O
train298,120-47-8,Inactive,,CCOC(=O)c1ccc(O)cc1
